lambda	amp
897.125	0.027
897.252	0.027
897.379	0.027
897.506	0.026
897.633	0.026
897.760	0.026
897.887	0.025
898.014	0.026
898.141	0.026
898.268	0.026
898.395	0.026
898.522	0.026
898.648	0.025
898.775	0.025
898.902	0.026
899.028	0.026
899.155	0.025
899.281	0.027
899.408	0.027
899.534	0.027
899.661	0.027
899.787	0.026
899.914	0.025
900.040	0.025
900.166	0.025
900.292	0.026
900.419	0.026
900.545	0.026
900.671	0.026
900.797	0.026
900.923	0.026
901.049	0.025
901.175	0.025
901.301	0.026
901.427	0.026
901.553	0.025
901.678	0.026
901.804	0.027
901.930	0.027
902.056	0.028
902.181	0.029
902.307	0.028
902.433	0.028
902.558	0.028
902.684	0.028
902.809	0.027
902.935	0.027
903.060	0.027
903.185	0.027
903.311	0.027
903.436	0.026
903.561	0.027
903.686	0.028
903.812	0.029
903.937	0.029
904.062	0.029
904.187	0.028
904.312	0.028
904.437	0.028
904.562	0.029
904.687	0.030
904.812	0.030
904.936	0.030
905.061	0.030
905.186	0.030
905.311	0.031
905.435	0.030
905.560	0.030
905.685	0.028
905.809	0.028
905.934	0.027
906.058	0.026
906.182	0.026
906.307	0.027
906.431	0.026
906.556	0.027
906.680	0.026
906.804	0.025
906.928	0.026
907.053	0.026
907.177	0.028
907.301	0.028
907.425	0.027
907.549	0.028
907.673	0.028
907.797	0.029
907.921	0.028
908.045	0.028
908.168	0.029
908.292	0.029
908.416	0.028
908.540	0.029
908.663	0.029
908.787	0.028
908.911	0.028
909.034	0.027
909.158	0.026
909.281	0.025
909.405	0.027
909.528	0.027
909.651	0.027
909.775	0.028
909.898	0.028
910.021	0.029
910.145	0.030
910.268	0.029
910.391	0.028
910.514	0.028
910.637	0.028
910.760	0.028
910.883	0.028
911.006	0.028
911.129	0.030
911.252	0.030
911.375	0.030
911.497	0.029
911.620	0.029
911.743	0.028
911.866	0.027
911.988	0.027
912.111	0.027
912.234	0.026
912.356	0.028
912.479	0.028
912.601	0.027
912.723	0.028
912.846	0.027
912.968	0.027
913.091	0.028
913.213	0.027
